IBOV - Carteira do Dia 12/01/24
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Diversos;VAMO3;VAMOS;ON      NM;421.383.330;0,180;3,056;
Diversos;YDUQ3;YDUQS PART;ON      NM;289.347.914;0,270;3,056;
Financ e Outros / Explor Imóveis;ALOS3;ALLOS;ON      NM;532.616.595;0,607;1,192;
Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;217.622.138;0,238;1,192;
Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON      N2;268.505.432;0,347;1,192;
Financ e Outros / Holdings Divers;ITSA4;ITAUSA;PN      N1;5.372.783.971;2,437;2,437;
Financ e Outros / Interms Financs;BBDC3;BRADESCO;ON  EJ  N1;1.500.728.902;0,972;17,747;
Financ e Outros / Interms Financs;BBDC4;BRADESCO;PN  EJ  N1;5.146.576.868;3,683;17,747;
Financ e Outros / Interms Financs;BBAS3;BRASIL;ON      NM;1.420.949.112;3,496;17,747;
Financ e Outros / Interms Financs;BPAC11;BTGP BANCO;UNT EJ  N2;1.150.645.866;1,937;17,747;
Financ e Outros / Interms Financs;ITUB4;ITAUUNIBANCO;PN      N1;4.801.593.832;7,189;17,747;
Financ e Outros / Interms Financs;SANB11;SANTANDER BR;UNT;342.918.449;0,470;17,747;
Financ e Outros / Previd  Seguros;BBSE3;BBSEGURIDADE;ON      NM;671.750.768;1,004;1,153;
Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;81.838.843;0,149;1,153;
Financeiro e Outros/Serviços Financeiros Diversos;B3SA3;B3;ON      NM;5.602.790.110;3,509;3,745;
Financeiro e Outros/Serviços Financeiros Diversos;CIEL3;CIELO;ON      NM;1.095.462.329;0,236;3,745;
Mats Básicos / Madeira e Papel;DXCO3;DEXCO;ON      NM;302.768.240;0,106;2,471;
Mats Básicos / Madeira e Papel;KLBN11;KLABIN S/A;UNT     N2;706.747.385;0,703;2,471;
Mats Básicos / Madeira e Papel;SUZB3;SUZANO S.A.;ON      NM;683.452.836;1,662;2,471;
Mats Básicos / Mineração;BRAP4;BRADESPAR;PN      N1;251.003.438;0,271;14,311;
Mats Básicos / Mineração;CMIN3;CSNMINERACAO;ON      N2;1.110.559.345;0,359;14,311;
Mats Básicos / Mineração;VALE3;VALE;ON      NM;4.196.924.316;13,681;14,311;
Mats Básicos / Químicos;BRKM5;BRASKEM;PNA     N1;265.877.867;0,222;0,222;
Mats Básicos / Sid Metalurgia;GGBR4;GERDAU;PN      N1;1.118.525.506;1,064;2,038;
Mats Básicos / Sid Metalurgia;GOAU4;GERDAU MET;PN      N1;660.411.219;0,295;2,038;
Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;600.865.451;0,482;2,038;
Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;515.117.391;0,197;2,038;
Petróleo/ Gás e Biocombustíveis;RRRP3;3R PETROLEUM;ON      NM;235.665.566;0,302;17,879;
Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1.168.097.881;1,008;17,879;
Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;2.379.877.655;4,213;17,879;
Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN      N2;4.566.445.852;7,805;17,879;
Petróleo/ Gás e Biocombustíveis;RECV3;PETRORECSA;ON      NM;275.005.663;0,251;17,879;
Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON      NM;800.010.734;1,634;17,879;
Petróleo/ Gás e Biocombustíveis;RAIZ4;RAIZEN;PN      N2;1.193.047.233;0,210;17,879;
Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1.086.411.192;1,332;17,879;
Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON      NM;1.114.412.532;1,124;17,879;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;409.490.388;0,634;2,248;
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1.275.798.515;1,614;2,248;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;240.822.651;0,190;2,515;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;4.394.332.306;0,854;2,515;
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;1.168.230.366;1,471;2,515;
Tec.Informação/Programas Servs;LWSA3;LWSA;ON      NM;393.173.139;0,108;0,857;
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;514.122.351;0,749;0,857;
Telecomunicação;VIVT3;TELEF BRASIL;ON;423.091.712;0,956;1,574;
Telecomunicação;TIMS3;TIM;ON      NM;807.896.814;0,618;1,574;
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;340.001.799;1,169;1,169;
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN      N1;1.437.415.777;0,780;10,954;
Utilidade Públ / Energ Elétrica;CPLE6;COPEL;PNB     N2;1.679.335.290;0,765;10,954;
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,321;10,954;
Utilidade Públ / Energ Elétrica;ELET3;ELETROBRAS;ON      N1;1.980.568.384;3,843;10,954;
Utilidade Públ / Energ Elétrica;ELET6;ELETROBRAS;PNB     N1;268.544.014;0,581;10,954;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;290.386.402;0,699;10,954;
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1.579.130.168;0,903;10,954;
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;255.236.961;0,501;10,954;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1.095.587.251;1,715;10,954;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT ED  N2;218.568.234;0,367;10,954;
Utilidade Públ / Energ Elétrica;TRPL4;TRAN PAULIST;PN      N1;395.801.044;0,479;10,954;
Quantidade Teórica Total;;;;96.372.098.181;100,000;100,000
Redutor;;;;17.048.770,05751012
